product_id,product_name,category,subcategory,cost_price,profit,selling_price
P00038,Face Wash,Beauty,Skincare,1861,532.66,2393.66
P00039,Shin Guards,Sports,Football,3910,1210.05,5120.05
P00040,Oxford Shirt,Clothing,Shirt,3431,1529.73,4960.73
P00041,Formal Shirt,Clothing,Shirt,1647,538.65,2185.65
P00042,Hair Serum,Beauty,Haircare,2105,533.23,2638.23
P00043,Skinny Jeans,Clothing,Jeans,3611,709.02,4320.02
P00044,Samsung Galaxy S24,Electronics,Smartphone,23111,3345.4,26456.4
P00045,Cricket Bat,Sports,Cricket,6565,2198.87,8763.87
P00046,Photo Frame,Home,Decor,1123,349.3,1472.3
P00047,Cricket Ball,Sports,Cricket,7540,1271.4,8811.4
P00048,Pool Towel,Sports,Swimming,1583,466.93,2049.93
P00049,Google Pixel 9,Electronics,Smartphone,54642,13697.22,68339.22
P00050,Running Shoes,Clothing,Shoes,4991,1762.66,6753.66
P00051,Boat Rockerz 550,Electronics,Headphones,10445,2108.21,12553.21
P00052,iPad Air,Electronics,Tablet,24172,3446.64,27618.64
P00053,Non-Stick Pan,Home,Kitchen,12983,4529.66,17512.66
P00054,Cricket Helmet,Sports,Cricket,7444,1851.91,9295.91
P00055,Dumbbells,Sports,Gym,3404,1050.16,4454.16
P00056,Bootcut Jeans,Clothing,Jeans,1262,418.54,1680.54
P00057,Straight Fit Jeans,Clothing,Jeans,1659,542.34,2201.34
P00058,Kickboard,Sports,Swimming,3987,811.94,4798.94
P00059,OnePlus 13,Electronics,Smartphone,30589,8923.03,39512.03
P00060,Hair Serum,Beauty,Haircare,1918,845.1,2763.1
P00061,Night Cream,Beauty,Skincare,806,395.67,1201.67
P00062,Sennheiser HD 450BT,Electronics,Headphones,2980,709.78,3689.78
P00063,Samsung Galaxy Tab S9,Electronics,Tablet,11816,1881.15,13697.15
P00064,Table Lamp,Home,Decor,4514,1796.62,6310.62
P00065,Table Lamp,Home,Decor,1909,504.95,2413.95
P00066,Google Pixel 9,Electronics,Smartphone,24533,4531.45,29064.45
P00067,Lipstick,Beauty,Makeup,2190,594.02,2784.02
P00068,Body Mist,Beauty,Fragrance,3200,1201.21,4401.21
P00069,Eau de Parfum,Beauty,Fragrance,2809,980.89,3789.89
P00070,Skipping Rope,Sports,Gym,3074,1027.96,4101.96
P00071,Casual Shirt,Clothing,Shirt,1074,478.42,1552.42
P00072,Mixer Grinder,Home,Kitchen,10907,1720.76,12627.76
P00073,Boots,Clothing,Shoes,4124,1026.37,5150.37
P00074,Swimming Fins,Sports,Swimming,1173,243.69,1416.69
P00075,Skipping Rope,Sports,Gym,4664,1837.18,6501.18
P00076,Wall Clock,Home,Decor,619,157.33,776.33
P00077,Football Boots,Sports,Football,1140,240.92,1380.92
P00078,Sennheiser HD 450BT,Electronics,Headphones,3664,859.79,4523.79
P00079,HP Pavilion,Electronics,Laptop,23343,5913.7,29256.7
P00080,Hand Cream,Beauty,Personal Care,1199,375.54,1574.54
P00081,Leather Jacket,Clothing,Jacket,4856,1181.05,6037.05
P00082,Vitamin C Serum,Beauty,Skincare,652,240.29,892.29
P00083,Microwave Oven,Home,Kitchen,13838,3034.13,16872.13
P00084,Lipstick,Beauty,Makeup,2081,722.15,2803.15
P00085,Blanket,Home,Bedding,7605,2575.69,10180.69
P00086,Fitbit Sense 2,Electronics,Smartwatch,8611,2451.51,11062.51
P00087,Bookshelf,Home,Furniture,28471,10223.96,38694.96
P00088,Helmet,Sports,Cycling,3927,792.65,4719.65
P00089,Hair Oil,Beauty,Haircare,1786,670.09,2456.09
P00090,Samsung Galaxy S24,Electronics,Smartphone,29450,4571.89,34021.89
P00091,Body Mist,Beauty,Fragrance,2796,1131.16,3927.16
P00092,Acer Aspire,Electronics,Laptop,35305,5460.07,40765.07
P00093,Wall Clock,Home,Decor,4474,1000.53,5474.53
P00094,Compact Powder,Beauty,Makeup,712,162.22,874.22
P00095,Fitbit Sense 2,Electronics,Smartwatch,15657,3945.41,19602.41
P00096,Linen Shirt,Clothing,Shirt,2071,606.81,2677.81
P00097,Eau de Parfum,Beauty,Fragrance,1798,782.09,2580.09
P00098,Formal Shirt,Clothing,Shirt,2609,845.68,3454.68
P00099,Garmin Venu 3,Electronics,Smartwatch,11186,2753.59,13939.59
P00100,Swimming Goggles,Sports,Swimming,475,120.29,595.29
P00101,Bike Pump,Sports,Cycling,6986,1356.39,8342.39
P00102,Hair Serum,Beauty,Haircare,1642,657.58,2299.58
P00103,Fitbit Sense 2,Electronics,Smartwatch,15174,5300.4,20474.4
P00104,Drawer Unit,Home,Storage,6134,1422.4,7556.4
P00105,V-Neck T-Shirt,Clothing,T-Shirt,1253,405.53,1658.53
P00106,Face Razor,Beauty,Personal Care,1516,552.39,2068.39
P00107,Microwave Oven,Home,Kitchen,7172,1197.49,8369.49
P00108,Leather Jacket,Clothing,Jacket,2865,1096.03,3961.03
P00109,Amazfit GTR 4,Electronics,Smartwatch,7141,2145.09,9286.09
P00110,Puffer Jacket,Clothing,Jacket,6801,2455.28,9256.28
P00111,Non-Stick Pan,Home,Kitchen,13326,3156.8,16482.8
P00112,Face Razor,Beauty,Personal Care,1343,422.1,1765.1
P00113,Water Bottle Cage,Sports,Cycling,10586,3073.81,13659.81
P00114,Microsoft Surface Go,Electronics,Tablet,24683,6030.7,30713.7
P00115,Cricket Bat,Sports,Cricket,1323,338.26,1661.26
P00116,Eyeliner,Beauty,Makeup,984,407.35,1391.35
P00117,Electric Trimmer,Beauty,Personal Care,302,115.91,417.91
P00118,Resistance Bands,Sports,Gym,3812,1161.21,4973.21
P00119,iPhone 15,Electronics,Smartphone,54356,13341.49,67697.49
P00120,Linen Shirt,Clothing,Shirt,1535,674.9,2209.9
P00121,Water Bottle Cage,Sports,Cycling,10837,2297.23,13134.23
P00122,Electric Kettle,Home,Kitchen,1539,254.78,1793.78
P00123,JBL Tune 770NC,Electronics,Headphones,9102,2796.31,11898.31
P00124,Amazfit GTR 4,Electronics,Smartwatch,6779,1532.48,8311.48
P00125,Hair Mask,Beauty,Haircare,539,237.14,776.14
P00126,Moisturizer,Beauty,Skincare,209,100.99,309.99
P00127,Canvas Painting,Home,Decor,5624,1154.46,6778.46
P00128,Samsung Galaxy S24,Electronics,Smartphone,20415,6070.43,26485.43
P00129,Denim Jacket,Clothing,Jacket,5658,1689.47,7347.47
P00130,Slim Fit Jeans,Clothing,Jeans,4700,1220.49,5920.49
P00131,Oxford Shirt,Clothing,Shirt,3370,1402.53,4772.53
P00132,Fitbit Sense 2,Electronics,Smartwatch,9989,3348.69,13337.69
P00133,Electric Trimmer,Beauty,Personal Care,813,300.75,1113.75
P00134,Apple Watch Series 10,Electronics,Smartwatch,9997,2226.78,12223.78
P00135,Toothbrush,Beauty,Personal Care,1569,589.39,2158.39
P00136,Blanket,Home,Bedding,949,254.76,1203.76
P00137,Straight Fit Jeans,Clothing,Jeans,2684,734.94,3418.94
P00138,Shampoo,Beauty,Haircare,773,267.47,1040.47
P00139,Face Razor,Beauty,Personal Care,174,42.21,216.21
P00140,Football Boots,Sports,Football,1758,447.18,2205.18
P00141,Bedsheet,Home,Bedding,4961,1273.26,6234.26
P00142,Goalkeeper Gloves,Sports,Football,2528,863.11,3391.11
P00143,Football,Sports,Football,5849,1817.38,7666.38
P00144,Swim Cap,Sports,Swimming,2500,630.28,3130.28
P00145,Relaxed Fit Jeans,Clothing,Jeans,2606,707.1,3313.1
P00146,Loafers,Clothing,Shoes,2719,745.28,3464.28
P00147,Bootcut Jeans,Clothing,Jeans,1371,286.94,1657.94
P00148,Flower Vase,Home,Decor,5624,1512.95,7136.95
P00149,Shoe Rack,Home,Storage,1323,239.4,1562.4
P00150,Office Desk,Home,Furniture,17124,4801.5,21925.5
P00151,Wooden Chair,Home,Furniture,13453,2965.58,16418.58
P00152,Leather Jacket,Clothing,Jacket,6645,2615.87,9260.87
P00153,Microsoft Surface Go,Electronics,Tablet,32195,4230.5,36425.5
P00154,Blanket,Home,Bedding,1064,202.8,1266.8
P00155,Relaxed Fit Jeans,Clothing,Jeans,2346,759.06,3105.06
P00156,Boots,Clothing,Shoes,4345,1218.92,5563.92
P00157,Slim Fit Jeans,Clothing,Jeans,2775,508.97,3283.97
P00158,Samsung Galaxy S24,Electronics,Smartphone,61277,8674.2,69951.2
P00159,Amazfit GTR 4,Electronics,Smartwatch,10168,3004.11,13172.11
P00160,Oxford Shirt,Clothing,Shirt,1669,370.07,2039.07
P00161,Bookshelf,Home,Furniture,9738,2869.72,12607.72
P00162,Body Mist,Beauty,Fragrance,2011,625.6,2636.6
P00163,Hooded Jacket,Clothing,Jacket,4948,1323.32,6271.32
P00164,Roll-On Perfume,Beauty,Fragrance,2647,776.48,3423.48
P00165,Lenovo Tab P12,Electronics,Tablet,12590,2034.03,14624.03
P00166,Shin Guards,Sports,Football,4570,1495.01,6065.01
P00167,iPad Air,Electronics,Tablet,30673,5628.94,36301.94
P00168,Canvas Painting,Home,Decor,1641,561.53,2202.53
P00169,Cricket Helmet,Sports,Cricket,4708,1205.1,5913.1
P00170,Acer Aspire,Electronics,Laptop,21917,3964.18,25881.18
P00171,Kickboard,Sports,Swimming,2706,562.24,3268.24
P00172,Microwave Oven,Home,Kitchen,7038,1828.36,8866.36
P00173,Wardrobe Organizer,Home,Storage,2419,455.25,2874.25
P00174,Face Wash,Beauty,Skincare,2194,808.03,3002.03
P00175,Oxford Shirt,Clothing,Shirt,2865,1107.3,3972.3
P00176,Drawer Unit,Home,Storage,6056,1094.62,7150.62
P00177,Slim Fit Jeans,Clothing,Jeans,4091,1135.91,5226.91
P00178,Shampoo,Beauty,Haircare,1402,407.04,1809.04
P00179,Hooded Jacket,Clothing,Jacket,7648,2043.07,9691.07
P00180,Bedsheet,Home,Bedding,6568,1839.12,8407.12
P00181,Canvas Painting,Home,Decor,5642,1623.48,7265.48
P00182,iPhone 15,Electronics,Smartphone,46016,8764.52,54780.52
P00183,Drawer Unit,Home,Storage,3910,655.06,4565.06
P00184,Straight Fit Jeans,Clothing,Jeans,2735,837.04,3572.04
P00185,Boots,Clothing,Shoes,3597,1206.55,4803.55
P00186,Hand Cream,Beauty,Personal Care,1050,240.06,1290.06
P00187,Football Boots,Sports,Football,5012,1649.2,6661.2
P00188,Amazfit GTR 4,Electronics,Smartwatch,10359,2928.21,13287.21
P00189,Electric Trimmer,Beauty,Personal Care,146,41.14,187.14
P00190,Mascara,Beauty,Makeup,394,133.84,527.84
P00191,Helmet,Sports,Cycling,11526,3248.43,14774.43
P00192,Yoga Mat,Sports,Gym,3219,1019.39,4238.39
P00193,Photo Frame,Home,Decor,2765,877.19,3642.19
P00194,Wooden Chair,Home,Furniture,27174,10367.53,37541.53
P00195,Loafers,Clothing,Shoes,5451,1991.66,7442.66
P00196,Face Razor,Beauty,Personal Care,1108,349.31,1457.31
P00197,Dining Table,Home,Furniture,10196,2304.93,12500.93
P00198,iPad Air,Electronics,Tablet,21053,2850.28,23903.28
P00199,Bedsheet,Home,Bedding,3772,1236.77,5008.77
P00200,Leather Jacket,Clothing,Jacket,2832,812.9,3644.9
P00201,Stumps,Sports,Cricket,5532,956.23,6488.23
P00202,Cricket Ball,Sports,Cricket,2622,877.3,3499.3
P00203,Table Lamp,Home,Decor,4100,1301.4,5401.4
P00204,Formal Shoes,Clothing,Shoes,2205,511.01,2716.01
P00205,Swimming Goggles,Sports,Swimming,2624,832.0,3456.0
P00206,V-Neck T-Shirt,Clothing,T-Shirt,1792,543.04,2335.04
P00207,Sony WH-1000XM5,Electronics,Headphones,2688,837.21,3525.21
P00208,Swimming Goggles,Sports,Swimming,726,210.04,936.04
P00209,Hair Oil,Beauty,Haircare,1101,473.0,1574.0
P00210,Night Cream,Beauty,Skincare,1700,625.63,2325.63
P00211,Polo T-Shirt,Clothing,T-Shirt,1694,492.37,2186.37
P00212,Bedsheet,Home,Bedding,2861,756.71,3617.71
P00213,Running Shoes,Clothing,Shoes,4335,1539.45,5874.45
P00214,Graphic T-Shirt,Clothing,T-Shirt,2201,672.0,2873.0
P00215,AirPods Pro,Electronics,Headphones,5462,1812.21,7274.21
P00216,Google Pixel 9,Electronics,Smartphone,59063,9172.51,68235.51
P00217,Night Cream,Beauty,Skincare,1487,408.72,1895.72
P00218,Loafers,Clothing,Shoes,1164,262.36,1426.36
P00219,Mixer Grinder,Home,Kitchen,3198,1022.16,4220.16
P00220,Hair Serum,Beauty,Haircare,1458,487.39,1945.39
P00221,TV Cabinet,Home,Furniture,25419,7218.14,32637.14
P00222,Photo Frame,Home,Decor,2055,667.53,2722.53
P00223,Acer Aspire,Electronics,Laptop,27083,5251.45,32334.45
P00224,Bedsheet,Home,Bedding,3461,955.87,4416.87
P00225,Casual Shirt,Clothing,Shirt,3686,1209.43,4895.43
P00226,Acer Aspire,Electronics,Laptop,54072,10899.7,64971.7
P00227,Sneakers,Clothing,Shoes,1441,521.79,1962.79
P00228,Drawer Unit,Home,Storage,2975,498.8,3473.8
P00229,Cricket Ball,Sports,Cricket,7684,1775.39,9459.39
P00230,Mattress Protector,Home,Bedding,1041,211.6,1252.6
P00231,Samsung Galaxy Tab S9,Electronics,Tablet,24060,4806.12,28866.12
P00232,Plastic Storage Box,Home,Storage,3769,793.97,4562.97
P00233,Electric Kettle,Home,Kitchen,6941,2065.69,9006.69
P00234,Puffer Jacket,Clothing,Jacket,6990,1880.8,8870.8
P00235,Hair Oil,Beauty,Haircare,1286,507.08,1793.08
P00236,Oversized T-Shirt,Clothing,T-Shirt,1612,409.42,2021.42
P00237,Resistance Bands,Sports,Gym,4220,1262.93,5482.93
P00238,Conditioner,Beauty,Haircare,303,104.49,407.49
P00239,iPhone 15,Electronics,Smartphone,66912,13997.22,80909.22
P00240,Polo T-Shirt,Clothing,T-Shirt,1362,293.08,1655.08
P00241,Laundry Basket,Home,Storage,971,286.6,1257.6
P00242,Comforter,Home,Bedding,2336,456.85,2792.85
P00243,Oxford Shirt,Clothing,Shirt,1540,673.84,2213.84
P00244,JBL Tune 770NC,Electronics,Headphones,7895,2587.9,10482.9
P00245,Apple Watch Series 10,Electronics,Smartwatch,15918,4741.01,20659.01
P00246,Samsung Galaxy Watch 7,Electronics,Smartwatch,8873,2484.48,11357.48
P00247,Acer Aspire,Electronics,Laptop,39541,13171.01,52712.01
P00248,Sunscreen,Beauty,Skincare,1721,611.71,2332.71
P00249,Eyeliner,Beauty,Makeup,1234,383.81,1617.81
P00250,Polo T-Shirt,Clothing,T-Shirt,1482,404.5,1886.5
P00251,Water Bottle Cage,Sports,Cycling,1630,486.34,2116.34
P00252,Bedsheet,Home,Bedding,4287,1347.93,5634.93
P00253,Samsung Galaxy Watch 7,Electronics,Smartwatch,19520,6453.63,25973.63
P00254,Blanket,Home,Bedding,1010,261.12,1271.12
P00255,Canvas Painting,Home,Decor,3712,1027.45,4739.45
P00256,Skinny Jeans,Clothing,Jeans,4824,1497.48,6321.48
P00257,Toothbrush,Beauty,Personal Care,796,251.66,1047.66
P00258,Cricket Ball,Sports,Cricket,7569,1767.77,9336.77
P00259,Swimming Goggles,Sports,Swimming,2450,661.74,3111.74
P00260,Blanket,Home,Bedding,6777,1898.57,8675.57
P00261,Apple Watch Series 10,Electronics,Smartwatch,8494,2083.88,10577.88
P00262,Bike Pump,Sports,Cycling,11733,3703.62,15436.62
P00263,Hair Serum,Beauty,Haircare,859,383.51,1242.51
P00264,Denim Jacket,Clothing,Jacket,6367,1695.75,8062.75
P00265,Pool Towel,Sports,Swimming,3714,1028.42,4742.42
P00266,Table Lamp,Home,Decor,1324,323.18,1647.18
P00267,Lenovo ThinkPad,Electronics,Laptop,34199,7524.64,41723.64
P00268,Face Wash,Beauty,Skincare,1243,619.92,1862.92
P00269,Conditioner,Beauty,Haircare,999,388.81,1387.81
P00270,Bootcut Jeans,Clothing,Jeans,1592,431.89,2023.89
P00271,Sennheiser HD 450BT,Electronics,Headphones,13873,4043.79,17916.79
P00272,Skinny Jeans,Clothing,Jeans,1918,656.84,2574.84
P00273,Football,Sports,Football,5982,1743.1,7725.1
P00274,Hair Oil,Beauty,Haircare,1133,340.5,1473.5
P00275,Denim Jacket,Clothing,Jacket,2413,569.97,2982.97
P00276,Swimming Fins,Sports,Swimming,1372,449.58,1821.58
P00277,Hand Cream,Beauty,Personal Care,797,250.47,1047.47
P00278,Canvas Painting,Home,Decor,1812,680.82,2492.82
P00279,Running Shoes,Clothing,Shoes,2704,703.37,3407.37
P00280,Night Cream,Beauty,Skincare,1393,385.11,1778.11
P00281,Boots,Clothing,Shoes,1556,555.39,2111.39
P00282,Graphic T-Shirt,Clothing,T-Shirt,1874,435.05,2309.05
P00283,Training Cones,Sports,Football,2412,540.23,2952.23
P00284,Drawer Unit,Home,Storage,1936,452.98,2388.98
P00285,Mattress Protector,Home,Bedding,5470,1104.04,6574.04
P00286,Polo T-Shirt,Clothing,T-Shirt,1547,569.33,2116.33
P00287,Water Bottle Cage,Sports,Cycling,6584,2068.02,8652.02
P00288,Helmet,Sports,Cycling,8991,2078.39,11069.39
P00289,Sony WH-1000XM5,Electronics,Headphones,10073,2968.66,13041.66
P00290,Table Lamp,Home,Decor,2853,1135.58,3988.58
P00291,Deodorant,Beauty,Fragrance,1012,285.91,1297.91
P00292,Cologne,Beauty,Fragrance,1156,526.42,1682.42
P00293,Straight Fit Jeans,Clothing,Jeans,4309,892.05,5201.05
P00294,Laundry Basket,Home,Storage,6896,1140.11,8036.11
P00295,Fitbit Sense 2,Electronics,Smartwatch,21482,4673.0,26155.0
P00296,Comforter,Home,Bedding,6358,2082.69,8440.69
P00297,Water Bottle Cage,Sports,Cycling,5616,1879.22,7495.22
P00298,Hair Serum,Beauty,Haircare,1832,558.47,2390.47
P00299,Slim Fit Jeans,Clothing,Jeans,4663,1413.6,6076.6
P00300,Drawer Unit,Home,Storage,2655,743.98,3398.98
P00301,Shin Guards,Sports,Football,2655,723.09,3378.09
P00302,Cricket Bat,Sports,Cricket,4176,1275.01,5451.01
P00303,V-Neck T-Shirt,Clothing,T-Shirt,648,146.61,794.61
P00304,Body Mist,Beauty,Fragrance,3196,947.18,4143.18
P00305,OnePlus 13,Electronics,Smartphone,63027,12445.0,75472.0
P00306,Sennheiser HD 450BT,Electronics,Headphones,2116,673.0,2789.0
P00307,Leather Jacket,Clothing,Jacket,5667,1773.32,7440.32
P00308,Canvas Painting,Home,Decor,1228,456.85,1684.85
P00309,Lenovo Tab P12,Electronics,Tablet,23399,2852.06,26251.06
P00310,Cricket Helmet,Sports,Cricket,3220,843.41,4063.41
P00311,Bedsheet,Home,Bedding,701,189.85,890.85
P00312,Apple Watch Series 10,Electronics,Smartwatch,18451,4443.48,22894.48
P00313,Pressure Cooker,Home,Kitchen,13430,2552.1,15982.1
P00314,Batting Gloves,Sports,Cricket,816,237.7,1053.7
P00315,iPhone 15,Electronics,Smartphone,37291,10321.2,47612.2
P00316,Pillow,Home,Bedding,6137,1743.42,7880.42
P00317,Loafers,Clothing,Shoes,4461,1548.47,6009.47
P00318,Wall Clock,Home,Decor,5469,1573.55,7042.55
P00319,Pillow,Home,Bedding,3656,955.96,4611.96
P00320,Round Neck T-Shirt,Clothing,T-Shirt,1049,280.48,1329.48
P00321,Hand Cream,Beauty,Personal Care,1717,350.56,2067.56
P00322,Leather Jacket,Clothing,Jacket,2582,903.87,3485.87
P00323,Flower Vase,Home,Decor,5040,1080.78,6120.78
P00324,Sony WH-1000XM5,Electronics,Headphones,9005,3531.37,12536.37
P00325,Laundry Basket,Home,Storage,5411,1408.5,6819.5
P00326,Helmet,Sports,Cycling,3212,858.82,4070.82
P00327,AirPods Pro,Electronics,Headphones,7631,2451.37,10082.37
P00328,Blanket,Home,Bedding,5550,1557.88,7107.88
P00329,Roll-On Perfume,Beauty,Fragrance,779,317.75,1096.75
P00330,Samsung Galaxy Tab S9,Electronics,Tablet,29975,4819.88,34794.88
P00331,Blanket,Home,Bedding,1074,268.73,1342.73
P00332,Vitamin C Serum,Beauty,Skincare,580,209.57,789.57
P00333,AirPods Pro,Electronics,Headphones,5814,1352.95,7166.95
P00334,Formal Shirt,Clothing,Shirt,527,139.41,666.41
P00335,Body Wash,Beauty,Personal Care,1547,494.64,2041.64
P00336,Kickboard,Sports,Swimming,3481,734.58,4215.58
P00337,Wardrobe Organizer,Home,Storage,3691,1012.56,4703.56
P00338,Amazfit GTR 4,Electronics,Smartwatch,9895,2819.23,12714.23
P00339,OnePlus 13,Electronics,Smartphone,54267,6870.25,61137.25
P00340,Toothbrush,Beauty,Personal Care,264,94.08,358.08
P00341,Cycling Gloves,Sports,Cycling,2774,552.1,3326.1
P00342,Mixer Grinder,Home,Kitchen,10508,3544.57,14052.57
P00343,Sunscreen,Beauty,Skincare,397,117.12,514.12
P00344,Leather Jacket,Clothing,Jacket,2508,845.03,3353.03
P00345,Shin Guards,Sports,Football,3140,821.37,3961.37
P00346,Straight Fit Jeans,Clothing,Jeans,4568,1496.23,6064.23
P00347,V-Neck T-Shirt,Clothing,T-Shirt,1617,368.56,1985.56
P00348,Body Mist,Beauty,Fragrance,3043,1318.3,4361.3
P00349,Plastic Storage Box,Home,Storage,1814,455.12,2269.12
P00350,Foundation,Beauty,Makeup,2658,1105.0,3763.0
P00351,Graphic T-Shirt,Clothing,T-Shirt,602,189.1,791.1
P00352,Dumbbells,Sports,Gym,3372,819.85,4191.85
P00353,Body Wash,Beauty,Personal Care,1725,465.26,2190.26
P00354,Mixer Grinder,Home,Kitchen,12424,2874.68,15298.68
P00355,Night Cream,Beauty,Skincare,688,190.77,878.77
P00356,Laundry Basket,Home,Storage,2437,525.72,2962.72
P00357,Microwave Oven,Home,Kitchen,2000,426.88,2426.88
P00358,Shampoo,Beauty,Haircare,1517,469.32,1986.32
P00359,Apple Watch Series 10,Electronics,Smartwatch,8806,2428.56,11234.56
P00360,Boots,Clothing,Shoes,2440,592.33,3032.33
P00361,Xiaomi Pad 6,Electronics,Tablet,24437,2712.0,27149.0
P00362,Graphic T-Shirt,Clothing,T-Shirt,1326,409.03,1735.03
P00363,Mattress Protector,Home,Bedding,1877,372.61,2249.61
P00364,Compact Powder,Beauty,Makeup,2063,704.68,2767.68
P00365,Comforter,Home,Bedding,7270,1331.13,8601.13
P00366,Puffer Jacket,Clothing,Jacket,7423,3009.34,10432.34
P00367,Pool Towel,Sports,Swimming,869,199.16,1068.16
P00368,Cologne,Beauty,Fragrance,2791,912.16,3703.16
P00369,Yoga Mat,Sports,Gym,1981,554.64,2535.64
P00370,Body Mist,Beauty,Fragrance,599,176.88,775.88
P00371,Training Cones,Sports,Football,4054,933.22,4987.22
P00372,Acer Aspire,Electronics,Laptop,26441,8819.41,35260.41
P00373,Mountain Bike,Sports,Cycling,6791,1272.5,8063.5
P00374,Canvas Painting,Home,Decor,1800,678.31,2478.31
P00375,HP Pavilion,Electronics,Laptop,36393,6731.06,43124.06
P00376,Samsung Galaxy Watch 7,Electronics,Smartwatch,10295,2471.64,12766.64
P00377,Canvas Painting,Home,Decor,4645,1608.99,6253.99
P00378,Helmet,Sports,Cycling,8500,1668.05,10168.05
P00379,Football,Sports,Football,1862,520.85,2382.85
P00380,Xiaomi Pad 6,Electronics,Tablet,27633,4723.41,32356.41
P00381,Night Cream,Beauty,Skincare,1187,357.94,1544.94
P00382,Polo T-Shirt,Clothing,T-Shirt,1400,446.45,1846.45
P00383,Lenovo ThinkPad,Electronics,Laptop,24358,7040.17,31398.17
P00384,Oversized T-Shirt,Clothing,T-Shirt,1298,348.15,1646.15
P00385,Sneakers,Clothing,Shoes,2125,646.23,2771.23
P00386,Cologne,Beauty,Fragrance,602,240.16,842.16
P00387,Google Pixel 9,Electronics,Smartphone,49957,9187.06,59144.06
P00388,Swimming Goggles,Sports,Swimming,3275,688.21,3963.21
P00389,Roll-On Perfume,Beauty,Fragrance,409,157.47,566.47
P00390,Photo Frame,Home,Decor,2928,853.14,3781.14
P00391,Blanket,Home,Bedding,3361,923.68,4284.68
P00392,Pillow,Home,Bedding,6261,2146.25,8407.25
P00393,Body Wash,Beauty,Personal Care,410,125.94,535.94
P00394,Sony WH-1000XM5,Electronics,Headphones,12123,4803.71,16926.71
P00395,Puffer Jacket,Clothing,Jacket,6225,2605.14,8830.14
P00396,Cricket Bat,Sports,Cricket,785,199.54,984.54
P00397,TV Cabinet,Home,Furniture,14023,4581.45,18604.45
P00398,Training Cones,Sports,Football,4125,825.0,4950.0
P00399,Wardrobe Organizer,Home,Storage,3208,523.37,3731.37
P00400,Formal Shirt,Clothing,Shirt,2996,828.04,3824.04
P00401,Shin Guards,Sports,Football,4806,997.24,5803.24
P00402,Boots,Clothing,Shoes,1243,295.25,1538.25
P00403,Dell Inspiron 15,Electronics,Laptop,41932,9481.86,51413.86
P00404,Photo Frame,Home,Decor,572,151.3,723.3
P00405,Round Neck T-Shirt,Clothing,T-Shirt,429,104.99,533.99
P00406,Football Boots,Sports,Football,2385,483.03,2868.03
P00407,Sony WH-1000XM5,Electronics,Headphones,11325,4299.56,15624.56
P00408,Roll-On Perfume,Beauty,Fragrance,2780,972.07,3752.07
P00409,Fitbit Sense 2,Electronics,Smartwatch,22913,4389.89,27302.89
P00410,Bedsheet,Home,Bedding,7946,2731.28,10677.28
